Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-07-27,AMC,0P00011H0G,4.010000228881836,4.03000020980835,3.809999942779541,3.869999885559082,2980500,32.4321,0
2020-07-28,AMC,0P00011H0G,3.849999904632568,4.25,3.839999914169312,4.150000095367432,6226600,32.4321,0
2020-07-29,AMC,0P00011H0G,4.070000171661377,4.199999809265137,3.950000047683716,4.159999847412109,5489400,32.4321,0
2020-07-30,AMC,0P00011H0G,4.119999885559082,4.340000152587891,4.059999942779541,4.119999885559082,3699100,32.4321,0
2020-07-31,AMC,0P00011H0G,4.079999923706055,4.150000095367432,3.950000047683716,4.039999961853027,2584900,31.2165,0
2020-08-03,AMC,0P00011H0G,4.050000190734863,4.199999809265137,3.859999895095825,4.110000133514404,4047100,31.2165,0
2020-08-04,AMC,0P00011H0G,4.070000171661377,4.239999771118164,4.059999942779541,4.099999904632568,3267800,31.2165,0
2020-08-05,AMC,0P00011H0G,4.079999923706055,4.170000076293945,4.070000171661377,4.150000095367432,1691500,31.2165,0
2020-08-06,AMC,0P00011H0G,4.110000133514404,4.239999771118164,3.990000009536743,4.139999866485596,3742600,31.2165,0
2020-08-07,AMC,0P00011H0G,4.139999866485596,5.260000228881836,4.090000152587891,4.75,24917400,31.2165,0
2020-08-10,AMC,0P00011H0G,4.650000095367432,4.739999771118164,4.349999904632568,4.46999979019165,5048200,31.2165,0
2020-08-11,AMC,0P00011H0G,4.699999809265137,4.849999904632568,4.539999961853027,4.559999942779541,5794800,31.2165,0
2020-08-12,AMC,0P00011H0G,4.619999885559082,4.760000228881836,4.559999942779541,4.639999866485596,2457900,31.2165,0
2020-08-13,AMC,0P00011H0G,5.099999904632568,5.769999980926514,4.820000171661377,5.309999942779541,23259200,31.2165,0
2020-08-14,AMC,0P00011H0G,5.559999942779541,5.630000114440918,5.050000190734863,5.539999961853027,12055800,30.063,0
2020-08-17,AMC,0P00011H0G,5.71999979019165,5.849999904632568,5.429999828338623,5.599999904632568,7159200,30.063,0
2020-08-18,AMC,0P00011H0G,5.570000171661377,5.570000171661377,5.130000114440918,5.349999904632568,5790700,30.063,0
2020-08-19,AMC,0P00011H0G,5.340000152587891,5.46999979019165,5.179999828338623,5.389999866485596,5728300,30.063,0
2020-08-20,AMC,0P00011H0G,5.570000171661377,5.78000020980835,5.300000190734863,5.690000057220459,13728400,30.063,0
2020-08-21,AMC,0P00011H0G,5.679999828338623,5.679999828338623,5.179999828338623,5.190000057220459,8216900,30.063,0
2020-08-24,AMC,0P00011H0G,5.349999904632568,5.449999809265137,4.940000057220459,5.409999847412109,8498200,30.063,0
2020-08-25,AMC,0P00011H0G,5.460000038146973,5.579999923706055,5.210000038146973,5.539999961853027,5296900,30.063,0
2020-08-26,AMC,0P00011H0G,5.449999809265137,5.670000076293945,5.329999923706055,5.599999904632568,4419400,30.063,0
2020-08-27,AMC,0P00011H0G,5.809999942779541,7.099999904632568,5.699999809265137,6.519999980926514,31921200,30.063,0
2020-08-28,AMC,0P00011H0G,6.489999771118164,6.539999961853027,6.110000133514404,6.300000190734863,9882700,30.063,0
2020-08-31,AMC,0P00011H0G,6.329999923706055,6.449999809265137,5.760000228881836,5.880000114440918,9820200,31.4979,0
2020-09-01,AMC,0P00011H0G,5.789999961853027,6.179999828338623,5.789999961853027,6.070000171661377,9524000,31.4979,0
2020-09-02,AMC,0P00011H0G,7.010000228881836,7.710000038146973,6.460000038146973,7.039999961853027,43056200,31.4979,0
2020-09-03,AMC,0P00011H0G,6.940000057220459,7.139999866485596,6.480000019073486,6.599999904632568,10626600,31.4979,0
2020-09-04,AMC,0P00011H0G,6.760000228881836,7.019999980926514,6.230000019073486,7.019999980926514,9328800,31.4979,0
2020-09-08,AMC,0P00011H0G,6.760000228881836,6.949999809265137,6.369999885559082,6.420000076293945,6667400,31.4979,0
2020-09-09,AMC,0P00011H0G,6.539999961853027,6.539999961853027,6.110000133514404,6.260000228881836,5578200,31.4979,0
2020-09-10,AMC,0P00011H0G,6.28000020980835,6.360000133514404,5.880000114440918,5.940000057220459,5881800,31.4979,0
2020-09-11,AMC,0P00011H0G,6.059999942779541,6.070000171661377,5.599999904632568,5.789999961853027,4863000,31.4979,0
2020-09-14,AMC,0P00011H0G,5.840000152587891,5.869999885559082,5.510000228881836,5.539999961853027,4638100,31.4979,0
2020-09-15,AMC,0P00011H0G,5.599999904632568,5.869999885559082,5.519999980926514,5.519999980926514,5099300,38.8175,0
2020-09-16,AMC,0P00011H0G,5.519999980926514,5.880000114440918,5.420000076293945,5.760000228881836,4380600,38.8175,0
2020-09-17,AMC,0P00011H0G,5.670000076293945,5.789999961853027,5.579999923706055,5.71999979019165,2619700,38.8175,0
2020-09-18,AMC,0P00011H0G,5.710000038146973,5.739999771118164,5.570000171661377,5.670000076293945,2428500,38.8175,0
2020-09-21,AMC,0P00011H0G,5.420000076293945,5.480000019073486,5.010000228881836,5.320000171661377,4563200,38.8175,0
2020-09-22,AMC,0P00011H0G,5.21999979019165,5.320000171661377,5.139999866485596,5.210000038146973,2090100,38.8175,0
2020-09-23,AMC,0P00011H0G,5.21999979019165,5.289999961853027,4.739999771118164,4.78000020980835,4285200,38.8175,0
2020-09-24,AMC,0P00011H0G,4.690000057220459,4.900000095367432,4.360000133514404,4.610000133514404,4569700,38.8175,0
2020-09-25,AMC,0P00011H0G,4.639999866485596,4.929999828338623,4.5,4.880000114440918,2375500,38.8175,0
2020-09-28,AMC,0P00011H0G,5.039999961853027,5.039999961853027,4.610000133514404,4.909999847412109,4676500,38.8175,0
2020-09-29,AMC,0P00011H0G,4.880000114440918,4.940000057220459,4.75,4.860000133514404,2520000,38.8175,0
2020-09-30,AMC,0P00011H0G,4.800000190734863,4.949999809265137,4.699999809265137,4.710000038146973,2515400,37.7236,0
2020-10-01,AMC,0P00011H0G,4.78000020980835,4.800000190734863,4.630000114440918,4.650000095367432,3223800,37.7236,0
2020-10-02,AMC,0P00011H0G,4.480000019073486,4.659999847412109,4.420000076293945,4.650000095367432,3576000,37.7236,0
2020-10-05,AMC,0P00011H0G,4.300000190734863,4.360000133514404,4.050000190734863,4.130000114440918,9468800,37.7236,0
2020-10-06,AMC,0P00011H0G,4.260000228881836,4.269999980926514,4.050000190734863,4.059999942779541,8404200,37.7236,0
2020-10-07,AMC,0P00011H0G,4.079999923706055,4.110000133514404,3.940000057220459,4.039999961853027,6917700,37.7236,0
2020-10-08,AMC,0P00011H0G,4.130000114440918,4.179999828338623,4.019999980926514,4.139999866485596,7868500,37.7236,0
2020-10-09,AMC,0P00011H0G,4.170000076293945,4.179999828338623,4.039999961853027,4.050000190734863,5021400,37.7236,0
